# x  OriginalData  Fit  Background  peak0  peak1  peak2
4.057999999999999829e+01 2.600000000000000000e+01 2.334033101245706732e+01 2.177370070604743546e+01 1.327996122869660400e+00 2.075923777112847479e-01 3.104180582868491800e-02
4.060000000000000142e+01 2.000000000000000000e+01 2.337897931289785802e+01 2.180399960748658827e+01 1.335749852449144237e+00 2.081207915384811202e-01 3.110906142364626079e-02
4.061999999999999744e+01 1.200000000000000000e+01 2.341763782454060916e+01 2.183423832613863169e+01 1.343571736737562361e+00 2.086512258051746171e-01 3.117653585924138812e-02
4.064000000000000057e+01 1.400000000000000000e+01 2.345630736034155817e+01 2.186441686200359413e+01 1.351462577425402989e+00 2.091836908265000405e-01 3.124423008606160707e-02
4.065999999999999659e+01 2.500000000000000000e+01 2.349498874515896318e+01 2.189453521508144718e+01 1.359423188034137864e+00 2.097181969835134052e-01 3.131214505986577162e-02
4.067999999999999972e+01 2.300000000000000000e+01 2.353368281596409517e+01 2.192459338537224767e+01 1.367454394126534467e+00 2.102547547237004211e-01 3.138028174161431455e-02
4.070000000000000284e+01 1.900000000000000000e+01 2.357239042205623036e+01 2.195459137287593876e+01 1.375557033521305206e+00 2.107933745614858356e-01 3.144864109750306058e-02
4.071999999999999886e+01 2.100000000000000000e+01 2.361111242528258458e+01 2.198452917759257730e+01 1.383731956512259442e+00 2.113340670787492159e-01 3.151722409899757743e-02
4.074000000000000199e+01 2.200000000000000000e+01 2.364984970026231537e+01 2.201440679952204960e+01 1.391980026092051625e+00 2.118768429253461150e-01 3.158603172286778005e-02
4.075999999999999801e+01 2.700000000000000000e+01 2.368860313461591716e+01 2.204422423866446934e+01 1.400302118180595468e+00 2.124217128196306814e-01 3.165506495122252795e-02
4.078000000000000114e+01 1.800000000000000000e+01 2.372737362919864879e+01 2.207398149501977969e+01 1.408699121858337122e+00 2.129686875489873454e-01 3.172432477154497193e-02
4.079999999999999716e+01 1.300000000000000000e+01 2.376616209833952809e+01 2.210367856858803748e+01 1.417171939604402464e+00 2.135177779703632817e-01 3.179381217672758858e-02
4.082000000000000028e+01 1.300000000000000000e+01 2.380496947008489528e+01 2.213331545936912903e+01 1.425721487539850729e+00 2.140689950108089767e-01 3.186352816510800573e-02
4.084000000000000341e+01 1.000000000000000000e+01 2.384379668644776729e+01 2.216289216736319645e+01 1.434348695676045171e+00 2.146223496680207399e-01 3.193347374050478638e-02
4.085999999999999943e+01 2.200000000000000000e+01 2.388264470366162584e+01 2.219240869257012605e+01 1.443054508168354566e+00 2.151778530108906240e-01 3.200364991225351785e-02
4.088000000000000256e+01 1.700000000000000000e+01 2.392151449244064310e+01 2.222186503499005994e+01 1.451839883575278156e+00 2.157355161800603993e-01 3.207405769524344225e-02
4.089999999999999858e+01 2.500000000000000000e+01 2.396040703824430551e+01 2.225126119462277074e+01 1.460705795123105721e+00 2.162953503884793294e-01 3.214469810995393417e-02
4.092000000000000171e+01 2.600000000000000000e+01 2.399932334154925684e+01 2.228059717146848584e+01 1.469653230976310176e+00 2.168573669219698019e-01 3.221557218249170712e-02
4.093999999999999773e+01 3.300000000000000000e+01 2.403826441812522674e+01 2.230987296552706312e+01 1.478683194513738863e+00 2.174215771397945418e-01 3.228668094462789490e-02
4.096000000000000085e+01 2.400000000000000000e+01 2.407723129931845563e+01 2.233908857679855942e+01 1.487796704610827581e+00 2.179879924752330389e-01 3.235802543383584085e-02
4.097999999999999687e+01 3.000000000000000000e+01 2.411622503234032777e+01 2.236824400528294632e+01 1.496994795927897526e+00 2.185566244361591692e-01 3.242960669332872747e-02
4.100000000000000000e+01 2.900000000000000000e+01 2.415524668056279722e+01 2.239733925098028067e+01 1.506278519204789612e+00 2.191274846056276149e-01 3.250142577209795547e-02
4.102000000000000313e+01 2.300000000000000000e+01 2.419429732381977516e+01 2.242637431389047720e+01 1.515648941561882124e+00 2.197005846424632536e-01 3.257348372495143252e-02
4.103999999999999915e+01 1.900000000000000000e+01 2.423337805871578254e+01 2.245534919401362117e+01 1.525107146807751946e+00 2.202759362818567657e-01 3.264578161255235478e-02
4.106000000000000227e+01 2.100000000000000000e+01 2.427248999894065307e+01 2.248426389134962733e+01 1.534654235753598606e+00 2.208535513359664026e-01 3.271832050145835613e-02
4.107999999999999829e+01 1.600000000000000000e+01 2.431163427559183177e+01 2.251311840589858093e+01 1.544291326534569908e+00 2.214334416945238082e-01 3.279110146416075455e-02
4.110000000000000142e+01 1.800000000000000000e+01 2.435081203750328527e+01 2.254191273766045356e+01 1.554019554938262493e+00 2.220156193254474719e-01 3.286412557912430504e-02
4.111999999999999744e+01 1.900000000000000000e+01 2.439002445158192955e+01 2.257064688663518837e+01 1.563840074740453723e+00 2.226000962754590973e-01 3.293739393082704275e-02
4.114000000000000057e+01 2.900000000000000000e+01 2.442927270315175292e+01 2.259932085282287062e+01 1.573754058048373539e+00 2.231868846707083520e-01 3.301090760980072286e-02
4.115999999999999659e+01 2.000000000000000000e+01 2.446855799630510475e+01 2.262793463622344348e+01 1.583762695651589336e+00 2.237759967174015041e-01 3.308466771267128820e-02
4.117999999999999972e+01 2.500000000000000000e+01 2.450788155426239712e+01 2.265648823683693536e+01 1.593867197380824274e+00 2.243674447024373297e-01 3.315867534219992668e-02
4.120000000000000284e+01 1.400000000000000000e+01 2.454724461973949801e+01 2.268498165466334626e+01 1.604068792474781402e+00 2.249612409940475732e-01 3.323293160732418428e-02
4.121999999999999886e+01 2.000000000000000000e+01 2.458664845532358356e+01 2.271341488970264777e+01 1.614368729955292681e+00 2.255573980424438185e-01 3.330743762319957058e-02
4.124000000000000199e+01 1.700000000000000000e+01 2.462609434385751328e+01 2.274178794195483988e+01 1.624768279010961880e+00 2.261559283804716602e-01 3.338219451124151138e-02
4.125999999999999801e+01 2.100000000000000000e+01 2.466558358883289515e+01 2.277010081141997944e+01 1.635268729389478981e+00 2.267568446242682612e-01 3.345720339916746777e-02
4.128000000000000114e+01 2.800000000000000000e+01 2.470511751479188689e+01 2.279835349809798117e+01 1.645871391798936489e+00 2.273601594739289578e-01 3.353246542103959643e-02
4.129999999999999716e+01 2.300000000000000000e+01 2.474469746773868195e+01 2.282654600198893036e+01 1.656577598318267119e+00 2.279658857141775852e-01 3.360798171730747935e-02
4.132000000000000028e+01 3.100000000000000000e+01 2.478432481555978484e+01 2.285467832309274172e+01 1.667388702817147017e+00 2.285740362150457949e-01 3.368375343485158907e-02
4.134000000000000341e+01 1.500000000000000000e+01 2.482400094845459648e+01 2.288275046140950053e+01 1.678306081385514847e+00 2.291846239325549262e-01 3.375978172702662899e-02
4.135999999999999943e+01 2.400000000000000000e+01 2.486372727937531479e+01 2.291076241693914994e+01 1.689331132773051802e+00 2.297976619094081741e-01 3.383606775370549824e-02
4.138000000000000256e+01 2.100000000000000000e+01 2.490350524447758929e+01 2.293871418968174680e+01 1.700465278838830141e+00 2.304131632756876435e-01 3.391261268132376994e-02
4.139999999999999858e+01 2.300000000000000000e+01 2.494333630358105225e+01 2.296660577963717742e+01 1.711709965011394941e+00 2.310311412495562877e-01 3.398941768292393362e-02
4.142000000000000171e+01 1.700000000000000000e+01 2.498322194064141044e+01 2.299443718680561233e+01 1.723066660759627888e+00 2.316516091379699216e-01 3.406648393820069232e-02
4.143999999999999773e+01 2.900000000000000000e+01 2.502316366423238136e+01 2.302220841118688099e+01 1.734536860074561870e+00 2.322745803373927886e-01 3.414381263354608620e-02
4.146000000000000085e+01 1.900000000000000000e+01 2.506316300804030561e+01 2.304991945278109711e+01 1.746122081962590444e+00 2.329000683345217870e-01 3.422140496209528232e-02
4.147999999999999687e+01 2.700000000000000000e+01 2.510322153136918288e+01 2.307757031158817540e+01 1.757823870950220302e+00 2.335280867070161914e-01 3.429926212377257255e-02
4.150000000000000000e+01 2.600000000000000000e+01 2.514334081965860790e+01 2.310516098760820114e+01 1.769643797600831903e+00 2.341586491242362289e-01 3.437738532533783642e-02
4.152000000000000313e+01 1.700000000000000000e+01 2.518352248501314250e+01 2.313269148084108906e+01 1.781583459043634798e+00 2.347917693479859291e-01 3.445577578043321904e-02
4.153999999999999915e+01 2.200000000000000000e+01 2.522376816674510991e+01 2.316016179128695285e+01 1.793644479515260182e+00 2.354274612332650229e-01 3.453443470963046824e-02
4.156000000000000227e+01 1.500000000000000000e+01 2.526407953192943978e+01 2.318757191894565040e+01 1.805828510914282869e+00 2.360657387290287512e-01 3.461336334047830643e-02
4.157999999999999829e+01 2.200000000000000000e+01 2.530445827597283426e+01 2.321492186381732381e+01 1.818137233369006900e+00 2.367066158789510044e-01 3.469256290755045463e-02
4.160000000000000142e+01 2.800000000000000000e+01 2.534490612319554259e+01 2.324221162590188783e+01 1.830572355818960384e+00 2.373501068222001187e-01 3.477203465249395498e-02
4.161999999999999744e+01 2.700000000000000000e+01 2.538542482742799322e+01 2.326944120519934245e+01 1.843135616610358962e+00 2.379962257942167259e-01 3.485177982407769437e-02
4.164000000000000057e+01 2.900000000000000000e+01 2.542601617262153368e+01 2.329661060170971609e+01 1.855828784106071438e+00 2.386449871275037882e-01 3.493179967824172616e-02
4.165999999999999659e+01 3.000000000000000000e+01 2.546668197347387519e+01 2.332371981543298034e+01 1.868653657310324956e+00 2.392964052524200746e-01 3.501209547814657097e-02
4.167999999999999972e+01 3.000000000000000000e+01 2.550742407607013718e+01 2.335076884636919203e+01 1.881612066508736358e+00 2.399504946979850728e-01 3.509266849422318368e-02
4.170000000000000284e+01 2.600000000000000000e+01 2.554824435853913300e+01 2.337775769451829433e+01 1.894705873923923978e+00 2.406072700926878416e-01 3.517352000422317715e-02
4.171999999999999886e+01 1.600000000000000000e+01 2.558914473172617576e+01 2.340468635988031565e+01 1.907936974387285822e+00 2.412667461653060785e-01 3.525465129326955938e-02
4.174000000000000199e+01 2.200000000000000000e+01 2.563012713988216618e+01 2.343155484245519915e+01 1.921307296027324973e+00 2.419289377457337631e-01 3.533606365390784543e-02
4.175999999999999801e+01 2.700000000000000000e+01 2.567119356136996799e+01 2.345836314224303010e+01 1.934818800974971165e+00 2.425938597658131302e-01 3.541775838615746075e-02
4.178000000000000114e+01 1.100000000000000000e+01 2.571234600938793591e+01 2.348511125924372323e+01 1.948473486086465867e+00 2.432615272601792167e-01 3.549973679756381062e-02
4.179999999999999716e+01 1.300000000000000000e+01 2.575358653271194953e+01 2.351179919345739222e+01 1.962273383684198125e+00 2.439319553671085439e-01 3.558200020325052310e-02
4.182000000000000028e+01 2.000000000000000000e+01 2.579491721645541347e+01 2.353842694488392340e+01 1.976220562316138629e+00 2.446051593293794013e-01 3.566454992597228174e-02
4.184000000000000341e+01 2.200000000000000000e+01 2.583634018284893941e+01 2.356499451352337360e+01 1.990317127534257713e+00 2.452811544951373490e-01 3.574738729616800531e-02
4.185999999999999943e+01 2.000000000000000000e+01 2.587785759203909919e+01 2.359150189937571440e+01 2.004565222692596738e+00 2.459599563187714055e-01 3.583051365201448540e-02
4.188000000000000256e+01 2.700000000000000000e+01 2.591947164290783334e+01 2.361794910244103107e+01 2.018967029765523780e+00 2.466415803617984792e-01 3.591393033948050983e-02
4.189999999999999858e+01 1.900000000000000000e+01 2.596118457391197865e+01 2.364433612271915308e+01 2.033524770186690311e+00 2.473260422937544334e-01 3.599763871238127744e-02
4.192000000000000171e+01 2.300000000000000000e+01 2.600299866394524528e+01 2.367066296021027938e+01 2.048240705709435172e+00 2.480133578930972527e-01 3.608164013243349288e-02
4.193999999999999773e+01 1.900000000000000000e+01 2.604491623322078553e+01 2.369692961491426786e+01 2.063117139289090129e+00 2.487035430481144838e-01 3.616593596931062110e-02
4.196000000000000085e+01 2.400000000000000000e+01 2.608693964417772193e+01 2.372313608683117536e+01 2.078156415988001271e+00 2.493966137578448594e-01 3.625052760069895352e-02
4.197999999999999687e+01 2.400000000000000000e+01 2.612907130241012155e+01 2.374928237596097347e+01 2.093360923903790027e+00 2.500925861330034472e-01 3.633541641235372294e-02
4.200000000000000000e+01 2.300000000000000000e+01 2.617131365762041995e+01 2.377536848230369060e+01 2.108733095121654522e+00 2.507914763969211758e-01 3.642060379815604404e-02
4.202000000000000313e+01 2.700000000000000000e+01 2.621366920459728433e+01 2.380139440585929833e+01 2.124275406691324086e+00 2.514933008864890795e-01 3.650609116017009687e-02
4.203999999999999915e+01 2.900000000000000000e+01 2.625614048421915925e+01 2.382736014662785351e+01 2.139990381629492511e+00 2.521980760531136179e-01 3.659187990870082369e-02
4.206000000000000227e+01 2.400000000000000000e+01 2.629873008448375771e+01 2.385326570460927087e+01 2.155880589948449444e+00 2.529058184636834294e-01 3.667797146235225736e-02
4.207999999999999829e+01 1.300000000000000000e+01 2.634144064156491538e+01 2.387911107980363568e+01 2.171948649711651136e+00 2.536165448015413326e-01 3.676436724808604395e-02
4.210000000000000142e+01 2.400000000000000000e+01 2.638427484089683972e+01 2.390489627221091951e+01 2.188197228117169324e+00 2.543302718674698704e-01 3.685106870128074252e-02
4.211999999999999744e+01 1.700000000000000000e+01 2.642723541828722134e+01 2.393062128183106552e+01 2.204629042609682177e+00 2.550470165806835166e-01 3.693807726579132616e-02
4.214000000000000057e+01 3.000000000000000000e+01 2.647032516106006383e+01 2.395628610866413055e+01 2.221246862022088653e+00 2.557667959798338164e-01 3.702539439400958504e-02
4.215999999999999659e+01 2.200000000000000000e+01 2.651354690922846657e+01 2.398189075271011461e+01 2.238053507747405746e+00 2.564896272240206887e-01 3.711302154692445315e-02
4.217999999999999972e+01 2.900000000000000000e+01 2.655690355669915093e+01 2.400743521396901770e+01 2.255051854942131229e+00 2.572155275938178831e-01 3.720096019418338285e-02
4.220000000000000284e+01 1.900000000000000000e+01 2.660039805250907463e+01 2.403291949244081138e+01 2.272244833761801530e+00 2.579445144923049882e-01 3.728921181415398300e-02
4.221999999999999886e+01 3.100000000000000000e+01 2.664403340209550564e+01 2.405834358812549567e+01 2.289635430629910484e+00 2.586766054461115960e-01 3.737777789398603195e-02
4.224000000000000199e+01 2.400000000000000000e+01 2.668781266860042578e+01 2.408370750102312741e+01 2.307226689541153508e+00 2.594118181064731798e-01 3.746665992967444792e-02
4.225999999999999801e+01 1.400000000000000000e+01 2.673173897421010992e+01 2.410901123113367817e+01 2.325021713400018619e+00 2.601501702502928559e-01 3.755585942612219008e-02
4.228000000000000114e+01 2.300000000000000000e+01 2.677581550153147560e+01 2.413425477845709111e+01 2.343023665395962407e+00 2.608916797812196875e-01 3.764537789720426991e-02
