# x  Fit  Background  peak0  peak1
5.315999999999999659e+01 3.201046088890954877e+01 2.666527130653366839e+01 5.086322581583601732e+00 2.588670007922755367e-01
5.317999999999999972e+01 3.212754027465493323e+01 2.671508266253135844e+01 5.151827037854254776e+00 2.606305742693181826e-01
5.320000000000000284e+01 3.224562606882651039e+01 2.676460384125925884e+01 5.218609975919340727e+00 2.624122516479105993e-01
5.321999999999999886e+01 3.236475213912564186e+01 2.681383484271736961e+01 5.286705014553824356e+00 2.642122818544480056e-01
5.324000000000000199e+01 3.248495347431776992e+01 2.686277566690569074e+01 5.356146889298694980e+00 2.660309181133835854e-01
5.325999999999999801e+01 3.260626622931675200e+01 2.691142631382444961e+01 5.426971497455608251e+00 2.678684180366894818e-01
5.328000000000000114e+01 3.272872777240861097e+01 2.695978678347319146e+01 5.499215945219907198e+00 2.697250437155090386e-01
5.329999999999999716e+01 3.285237673473518782e+01 2.700785707585259843e+01 5.572918597068542645e+00 2.716010618140468624e-01
5.332000000000000028e+01 3.297725306215624386e+01 2.705563719096198838e+01 5.648119127528482331e+00 2.734967436657713136e-01
5.334000000000000341e+01 3.310339806963112608e+01 2.710312712880181607e+01 5.724858575457322907e+00 2.754123653719824372e-01
5.335999999999999943e+01 3.323085449825214965e+01 2.715032688937162675e+01 5.803179400977693803e+00 2.773482079028242731e-01
5.338000000000000256e+01 3.335966657508809163e+01 2.719723647267210254e+01 5.883125545215176722e+00 2.793045572008066024e-01
5.339999999999999858e+01 3.348988007598844518e+01 2.724385587870256131e+01 5.964742492998984957e+00 2.812817042868990813e-01
5.342000000000000171e+01 3.362154239152884827e+01 2.729018510746345783e+01 6.048077338696102423e+00 2.832799453692904090e-01
5.343999999999999773e+01 3.375470259626811753e+01 2.733622415895433733e+01 6.133178855358913495e+00 2.852995819548662104e-01
5.346000000000000085e+01 3.388941152151944891e+01 2.738197303317565456e+01 6.220097567380286741e+00 2.873409209635062189e-01
5.347999999999999687e+01 3.402572183183342958e+01 2.742743173012740954e+01 6.308885826860762158e+00 2.894042748452622660e-01
5.350000000000000000e+01 3.416368810541800372e+01 2.747260024980914750e+01 6.399597893908333113e+00 2.914899617005191623e-01
5.352000000000000313e+01 3.430336691872856392e+01 2.751747859222132320e+01 6.492290021104035525e+00 2.935983054032079709e-01
5.353999999999999915e+01 3.444481693547511014e+01 2.756206675736370926e+01 6.587020542384226296e+00 2.957296357271745335e-01
5.356000000000000227e+01 3.458809900031882734e+01 2.760636474523653305e+01 6.683849966606505433e+00 2.978842884757932907e-01
5.357999999999999829e+01 3.473327623753869631e+01 2.765037255583933984e+01 6.782841076084447529e+00 3.000626056149098275e-01
5.360000000000000142e+01 3.488041415497963271e+01 2.769409018917281173e+01 6.884059030397589041e+00 3.022649354092328267e-01
5.361999999999999744e+01 3.502958075360084678e+01 2.773751764523626662e+01 6.987571475802329957e+00 3.044916325622532560e-01
5.364000000000000057e+01 3.518084664298471154e+01 2.778065492402993186e+01 7.093448660594961375e+00 3.067430583598204641e-01
5.365999999999999659e+01 3.533428516317186308e+01 2.782350202555403484e+01 7.201763556800376165e+00 3.090195808174583392e-01
5.367999999999999972e+01 3.548997251322946767e+01 2.786605894980834819e+01 7.312591988589562497e+00 3.113215748315629749e-01
5.370000000000000284e+01 3.564798788698293208e+01 2.790832569679287190e+01 7.426012767855492136e+00 3.136494223345689947e-01
